YEAR,QUARTER,ID,INDUSTRY,CPI.csv1,CPI.csv2,CPI.csv3,CPI.csv4,CPI.csv5,CPI.csv6,CPI.csvGA,CPI.csvGB,
1969,1,470,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,471,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,472,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,110,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,473,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,474,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,475,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,476,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,10,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,12,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,13,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,15,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,16,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,18,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,19,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,480,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,481,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,483,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,484,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,485,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,2,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,486,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,3,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,487,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,4,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,488,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,5,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,489,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,9,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,20,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,21,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,23,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,25,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,27,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,490,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,493,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,495,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,496,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,497,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,498,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,499,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,30,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,31,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,35,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,36,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,39,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,40,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,41,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,42,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,43,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,44,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,46,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,47,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,51,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,53,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,54,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,55,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,58,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,60,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,61,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,62,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,63,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,65,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,66,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,67,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1969,1,68,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
