ID,Date,HOUSING,NGDP,PGDP,UNEMPLOY,INPROD,RGDP,RCON,RINV,RINVRES,RFEDGOV,RGSL,RCBI,CPI,PCON,EMPLOY
42,1958:Q2,1193.666667,438.3,16.192,7.366666667,89.86666667,439.5,287.5,41.3,19.7,53.4,40.1,-5,28.93,99.9652,50867.66667
43,1958:Q3,1387.333333,451.4,16.231,7.333333333,95.33333333,450.7,291.9,40.5,20.8,53.9,40.9,0.3,28.91333333,100.1028,51178.33333
44,1958:Q4,1554.333333,464.4,16.251,6.4,99,461.6,295.2,41.4,22.8,55,41.5,4.3,28.94333333,100.3388,51775
45,1959:Q1,1563.666667,474,16.327,5.833333333,103,468.6,302.3,42.2,24.8,53.5,42.1,3.8,28.99333333,100.5624,52648
46,1959:Q2,1535,486.9,16.373,5.133333333,108.8,479.9,307,44.3,25.4,52.6,42.5,8.9,29.04333333,100.9121,53443
47,1959:Q3,1521,484,16.443,5.333333333,105.2,475,310,45.1,24.7,51.9,42.3,0.5,29.19333333,101.5484,53414
48,1959:Q4,1437.333333,490.5,16.507,5.6,105.2333333,480.4,310.1,44.9,23.9,51.9,42.3,6.2,29.37,101.9994,53600.33333
49,1960:Q1,1393.666667,503,16.538,5.233333333,111.0666667,490.2,313.9,46.6,23.7,51.2,42.6,9.6,29.39666667,102.2937,54348.66667
50,1960:Q2,1263,504.7,16.597,5.266666667,109.7333333,489.8,317.8,47.6,22,51,43.7,3.8,29.57333333,102.6746,54414.33333
51,1960:Q3,1228,504.2,16.669,5.6,108.5333333,487.4,316.5,47,21,51.8,43.6,3,29.59,102.97,54165.33333
52,1960:Q4,1163,503.3,16.742,6.3,105.3333333,483.8,316.5,47,20.7,51.8,44.1,-2.6,29.78,103.5387,53803
53,1961:Q1,1295,503.6,16.762,6.833333333,103.5,482.7,316.3,44.9,20.9,52.2,45.4,-3.4,29.84,103.8255,53465.33333
54,1961:Q2,1256,514.9,16.795,7,108.7666667,492.9,320.5,44.6,21.1,54.2,45.3,2.1,29.83,103.6817,53701
55,1961:Q3,1371.333333,524.2,16.83,6.8,112.4666667,501.6,324,45.7,21.6,55.9,46.1,3.8,29.94666667,103.9198,54162.33333
56,1961:Q4,1368.333333,537.7,16.869,6.233333333,114.6333333,511.9,329.6,46.6,22.6,55.9,47,5.5,29.99,104.0959,54550
57,1962:Q1,1414.333333,547.8,16.953,5.6,115.7666667,519.7,333.5,47.6,23.1,58.6,46.9,6.5,30.10666667,104.4378,54953.33333
58,1962:Q2,1478.333333,557.2,17,5.533333333,118.2333333,527.9,335.9,49.3,23.8,60.7,47.1,5.9,30.23,104.7038,55492.66667
59,1962:Q3,1439,564.4,17.04,5.6,119.5666667,533.6,340.3,51.1,24.2,60.2,47.6,5.3,30.30666667,104.9662,55699
60,1962:Q4,1545.666667,572,17.081,5.566666667,119.5333333,538.5,344.8,50.7,23.8,60.6,48,6.2,30.38,105.2784,55852.33333
61,1963:Q1,1427.333333,577,17.165,5.766666667,119.5,541.2,348.3,50,24.2,61.3,49.1,4.4,30.47666667,105.656,56043.66667
62,1963:Q2,1624,583.1,17.18,5.766666667,123.7666667,544.9,350,51.2,24.6,59.2,49.5,4.6,30.53333333,106.0286,56493.33333
63,1963:Q3,1651.333333,593.1,17.199,5.566666667,125.9333333,553.7,355.1,52.6,24.6,59.7,50.3,5.8,30.72,106.0546,56799.66667
64,1963:Q4,1658.333333,603.6,17.311,5.633333333,126.9,560,356.4,53.7,25.3,58.7,50.8,7.9,30.80333333,106.4815,57154
65,1964:Q1,1689.666667,614,17.376,5.433333333,127.6333333,567.1,364.5,55.1,25.7,58.2,51.7,3,30.93,106.749,57590.66667
66,1964:Q2,1495.333333,624.2,17.427,5.3,130.4333333,575.9,369.8,55.7,25,59.9,52.9,4.5,30.98,107.0849,57954
67,1964:Q3,1483.333333,634.8,17.513,5.066666667,133.3666667,582.6,377.3,58.1,24.1,57.1,53.4,3.8,31.05,107.2356,58338.33333
68,1964:Q4,1523,641.1,17.588,5.033333333,134.5333333,584.7,376.8,59.6,23.6,56.1,53.3,7.1,31.19333333,107.7229,58753
69,1965:Q1,1431.333333,656.4,17.665,4.833333333,138.8666667,597.5,385.9,61.9,24.3,56.4,54.5,8.6,31.29,108.0332,59580.66667
70,1965:Q2,1480,665.9,17.747,4.733333333,141.3333333,601.4,390.2,62,24.5,56.8,54.7,6.5,31.49,108.7647,60095.66667
71,1965:Q3,1459.666667,676.9,17.828,4.466666667,143.6,609.1,396.9,66,23.7,57,56,7.2,31.58333333,108.9695,60681.66667
72,1965:Q4,1499,694.6,17.945,4.2,145.8,621.7,402.8,67.9,23.1,58.6,56.3,6.8,31.75,109.2602,61361.33333
73,1966:Q1,1423.666667,714.1,18.054,3.833333333,151.3666667,633.8,412.8,70.8,24.3,60.4,57.9,8.5,32.04666667,110.3682,62441.33333
74,1966:Q2,1274.666667,732,18.218,3.9,154.6666667,644.2,412.2,71.3,23.4,61.9,58.5,11.6,32.33666667,111.6206,63123.33333
75,1966:Q3,1078.333333,746,18.378,3.866666667,158,650.7,418.3,73,20.5,65.5,59.4,9.1,32.61666667,112.3356,64042
76,1966:Q4,917,759.1,18.528,3.7,158.5333333,657,418.5,73.8,17.9,68.2,60.6,13.2,32.88333333,113.3572,64705.33333
77,1967:Q1,1118,764.3,18.605,3.666666667,156.7333333,657.2,424.2,73,17.3,72.3,63.2,6.7,32.96666667,113.2013,65447
78,1967:Q2,1207.666667,775.3,18.717,3.833333333,155.5333333,664.6,430.6,72.6,18.3,74.4,64.3,0.4,33.16666667,113.725,65537
79,1967:Q3,1407,790.1,18.885,3.933333333,156.8666667,671.6,431.5,73.2,19.7,75.1,64.9,3.5,33.5,114.7856,66077.33333
80,1967:Q4,1443,807.6,19.094,3.933333333,158.9333333,679.4,433.2,73.2,21.3,74.4,66,8.4,33.86666667,115.7433,66667.33333
81,1968:Q1,1495.666667,827.3,19.302,3.6,161.5333333,689.7,444.9,76.5,23,78.1,68.4,2,34.2,116.7453,67565
82,1968:Q2,1421.333333,850.8,19.519,3.6,163.6,701.7,447.5,74.5,22.9,80.1,69.1,9.9,34.53333333,117.9665,67857.33333
83,1968:Q3,1548.333333,870.8,19.706,3.6,164.2333333,712,455.7,76.6,22.4,79.5,70.6,6.8,35,118.7404,68341
84,1968:Q4,1559.666667,887.8,19.98,3.433333333,167.1,719.1,454.8,79.4,24,79.4,71.6,9.1,35.43333333,120.1187,68838
85,1969:Q1,1685,903.4,20.18,3.333333333,169.8,723.6,462.9,79.4,24.6,78.3,72.3,5.9,35.86666667,121.4085,69879
86,1969:Q2,1499.333333,925.1,20.446,3.466666667,172.7333333,727.3,466.2,81,23.8,76.3,73.9,6,36.43333333,122.8657,70237.33333
87,1969:Q3,1396.666667,942.3,20.737,3.7,174.4333333,730.4,466.5,82.4,22.6,75.5,73.9,9.3,36.93333333,124.2872,70432
88,1969:Q4,1291.333333,953.1,20.997,3.633333333,171.7666667,730.5,468.5,83.2,22.8,74.4,74.7,6.7,37.5,125.7631,70644.33333
89,1970:Q1,1290,960.4,21.286,4.166666667,169.8333333,726.9,471.9,83,21.5,71.3,75.3,2.5,38.1,127.2727,70816
90,1970:Q2,1246.333333,970.1,21.593,4.833333333,169.3333333,724.3,477.5,80.5,20,68.1,73.6,2.5,38.63333333,128.6283,70831
